Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$5,391","$6,776", 643 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,618","$8,145", 708 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,282","$8,227", 655 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,365","$8,230", 744 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",2 beds, 2 baths,"$7,932","$10,157", 957 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",2 beds, 2 baths,"$11,524","$13,084", 1,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",3 beds, 3 baths,"$15,990","$17,482", 1,202110
Stonehenge 65,"360 E 65th St, New York, NY 10065
Lenox Hill",1 bed, 1 bath,"$4,395",-1.0,0,202110
Stonehenge 65,"360 E 65th St, New York, NY 10065
Lenox Hill",2 beds, 2 baths,"$5,950","$6,395",0,202110
Stonehenge 65,"360 E 65th St, New York, NY 10065
Lenox Hill",2 beds, 1 bath,"$6,825",-1.0,0,202110
Stonehenge 65,"360 E 65th St, New York, NY 10065
Lenox Hill",3 beds, 2 baths,"$6,495",-1.0,0,202110
517 W 113th St,"517 W 113th St, New York, NY 10025
Morningside Heights",1 bed, 1 bath,"$2,400","$2,800", 750 – 850 sq ft,202110
517 W 113th St,"517 W 113th St, New York, NY 10025
Morningside Heights",2 beds, 1 bath,"$3,500","$4,000", 1,202110
517 W 113th St,"517 W 113th St, New York, NY 10025
Morningside Heights",4 beds, 1 bath,"$4,000","$7,000", 1,202110
The Aldyn,"60 Riverside Blvd, New York, NY 10069
Lincoln Square",Studio, 1 bath,"$3,920","$5,760", 430 sq ft,202110
The Aldyn,"60 Riverside Blvd, New York, NY 10069
Lincoln Square",1 bed, 1 bath,"$5,990","$9,365", 866 sq ft,202110
The Aldyn,"60 Riverside Blvd, New York, NY 10069
Lincoln Square",1 bed, 1 bath,"$5,465","$8,615", 727 sq ft,202110
The Aldyn,"60 Riverside Blvd, New York, NY 10069
Lincoln Square",3 beds, 3 baths,"$13,730","$23,445", 1,202110
19 Dutch,"19 Dutch St, New York, NY 10038
Financial District",Studio, 1 bath,"$3,529","$4,456",0,202110
19 Dutch,"19 Dutch St, New York, NY 10038
Financial District",1 bed, 1 bath,"$5,734","$5,887", 751 sq ft,202110
Lexington Towers,"160 E 88th St, New York, NY 10128
Carnegie Hill",1 bed, 1 bath,"$3,942",-1.0, 772 sq ft,202110
Yorkshire Towers,"305-315 E 86th St, New York, NY 10028
Yorkville",1 bed, 1 bath,"$4,308","$4,583", 800 – 828 sq ft,202110
Yorkshire Towers,"305-315 E 86th St, New York, NY 10028
Yorkville",1 bed, 2 baths,"$4,492",-1.0, 726 sq ft,202110
Yorkshire Towers,"305-315 E 86th St, New York, NY 10028
Yorkville",2 beds, 2 baths,"$5,821",-1.0, 1,202110
Tower 31,"9 W 31st St, New York, NY 10001
Koreatown",1 bed, 1 bath,"$4,450","$4,795", 652 – 665 sq ft,202110
301 EAST 47TH STREET,"900 2nd Ave, New York, NY 10017
Turtle Bay",4 beds, 2 baths,"$7,895",-1.0, 1,202110
The Rachel Bridge Apartments,"1365 Saint Nicholas Ave, New York, NY 10033
Washington Heights",1 bed, 1 bath,"$2,095","$2,549", 650 sq ft,202110
The Rachel Bridge Apartments,"1365 Saint Nicholas Ave, New York, NY 10033
Washington Heights",3 beds, 1.5 baths,"$3,100",-1.0, 1,202110
Gracie Mews,"401 E 80th St, New York, NY 10075
Yorkville",1 bed, 1 bath,"$3,595",-1.0, 600 sq ft,202110
307 East 76th Street,"307 E 76th St, New York, NY 10021
Upper East Side",1 bed, 1 bath,"$2,100",-1.0, 750 sq ft,202110
535 W 49th St,"535 W 49th St, New York, NY 10019
Manhattan",1 bed, 1 bath,"$1,800",-1.0, 400 sq ft,202110
Symphony House,"235 W 56th St, New York, NY 10019
Central Park South",Studio, 1 bath,"$2,500","$3,100", 450 sq ft,202110
Symphony House,"235 W 56th St, New York, NY 10019
Central Park South",Studio, 1 bath,"$3,000","$4,000", 650 sq ft,202110
Symphony House,"235 W 56th St, New York, NY 10019
Central Park South",1 bed, 1 bath,"$3,450","$4,300", 580 sq ft,202110
Symphony House,"235 W 56th St, New York, NY 10019
Central Park South",1 bed, 1 bath,"$3,800","$4,500", 650 sq ft,202110
Symphony House,"235 W 56th St, New York, NY 10019
Central Park South",2 beds, 2 baths,"$4,950","$7,000", 1,202110
RH 220 WEST 149 STREET LP.,"220 W 149th St, New York, NY 10039
Central Harlem",1 bed, 1 bath,"$1,830",-1.0,0,202110
